traveler_id,name,base_city,home_airport,trip_count,distinct_destinations,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,entropy_norm_global,region_entropy_norm_global,loyalist_carrier,first_class_share
thomas-mann,Thomas Mann,Munich,,1,1,True,0.671,0.695,0.706,0.3517,,,,,0.0,,0.0
herman-melville,Herman Melville,"Washington, D.C.",,0,0,True,,,,,,,,,0.0,,
yi-kwang-su,Yi Kwang-su,Seoul,,1,1,True,0.289,0.999,0.676,0.2007,,,,,0.0,,0.0
bing-xin,Bing Xin,Beijing,,1,1,True,0.458,0.0,0.749,0.3238,,,,,0.0,,0.0
edgar-allan-poe,Edgar Allan Poe,"Washington, D.C.",,1,1,True,0.671,0.993,0.686,0.1604,,,,,0.0,,0.0
charles-dickens,Charles Dickens,London,,0,0,True,,,,,,,,,0.0,,
saul-bellow,Saul Bellow,"Washington, D.C.",,1,1,True,0.458,0.936,0.747,0.05,,,,,0.0,,0.0
sinclair-lewis,Sinclair Lewis,"Washington, D.C.",,1,1,True,0.867,0.727,0.752,0.2413,,,,,0.0,,0.0
robert-louis-stevenson,Robert Louis Stevenson,Glasgow,,1,1,True,0.578,0.622,0.685,0.3521,,,,,0.0,,0.0
george-orwell,George Orwell,Manchester,,1,1,True,0.671,0.954,0.655,0.1327,,,,,0.0,,0.0
henry-lawson,Henry Lawson,Melbourne,,1,1,True,0.458,0.0,0.739,0.3238,,,,,0.0,,0.0
margaret-laurence,Margaret Laurence,Toronto,,1,1,True,0.0,0.663,,0.6624,,,,,0.0,,0.0
emily-bronte,Emily Bronte,London,,1,1,True,0.289,0.999,0.671,0.2007,,,,,0.0,,0.0
mavis-gallant,Mavis Gallant,Toronto,,1,1,True,0.671,0.993,0.793,0.1604,,,,,0.0,,0.0
lin-hai-yin,Lin Hai-yin,Taipei,,1,1,True,0.867,0.727,0.791,0.2413,,,,,0.0,,0.0
carol-shields,Carol Shields,Toronto,,1,1,True,0.458,0.936,0.579,0.05,,,,,0.0,,0.0
kurt-vonnegut,Kurt Vonnegut,"Washington, D.C.",,1,1,True,0.671,0.993,0.766,0.1604,,,,,0.0,,0.0
rudyard-kipling,Rudyard Kipling,London,,1,1,True,0.671,0.993,0.78,0.1604,,,,,0.0,,0.0
jorge-amado,Jorge Amado,Sao Paulo,,1,1,True,0.578,0.602,0.753,0.4542,,,,,0.0,,0.0
gabrielle-roy,Gabrielle Roy,Toronto,,1,1,True,0.289,0.0,0.634,0.6584,,,,,0.0,,0.0
kenzaburo-oe,Kenzaburo Oe,Tokyo,,1,1,True,0.0,0.847,0.732,0.5795,,,,,0.0,,0.0
kim-dong-ni,Kim Dong-ni,Seoul,,1,1,True,0.0,0.685,0.835,0.2439,,,,,0.0,,0.0
heo-nanseolheon,Heo Nanseolheon,Busan,,1,1,True,0.812,0.82,0.737,0.2329,,,,,0.0,,0.0
ho-xuan-huong,Ho Xuan Huong,Ho Chi Minh City,,1,1,True,0.289,0.999,0.699,0.2007,,,,,0.0,,0.0
carmen-laforet,Carmen Laforet,Madrid,,1,1,True,0.578,0.769,0.786,0.2642,,,,,0.0,,0.0
hella-haasse,Hella Haasse,Rotterdam,,1,1,True,0.747,0.819,0.7,0.2178,,,,,0.0,,0.0
annie-m-g-schmidt,Annie M. G. Schmidt,Rotterdam,,1,1,True,0.747,0.819,0.772,0.2178,,,,,0.0,,0.0
nguyen-du,Nguyen Du,Ho Chi Minh City,,1,1,True,0.0,0.847,0.759,0.5795,,,,,0.0,,0.0
mahasweta-devi,Mahasweta Devi,Mumbai,,1,1,True,0.0,0.847,0.625,0.5795,,,,,0.0,,0.0
xuan-quynh,Xuan Quynh,Ho Chi Minh City,,1,1,True,0.671,0.993,0.694,0.1604,,,,,0.0,,0.0
ding-ling,Ding Ling,Beijing,,1,1,True,0.0,0.0,,0.2843,,,,,0.0,,0.0
nieh-hualing,Nieh Hualing,Taipei,,1,1,True,0.289,0.0,0.714,0.6584,,,,,0.0,,0.0
carlos-drummond-de-andrade,Carlos Drummond de Andrade,Sao Paulo,,1,1,True,0.578,0.602,0.748,0.4542,,,,,0.0,,0.0
dante-alighieri,Dante Alighieri,Milan,,1,1,True,0.867,0.727,0.726,0.2413,,,,,0.0,,0.0
carmen-martin-gaite,Carmen Martin Gaite,Madrid,,1,1,True,0.458,0.0,0.797,0.5964,,,,,0.0,,0.0
rosario-castellanos,Rosario Castellanos,Mexico City,,1,1,True,0.0,0.283,0.775,0.3101,,,,,0.0,,0.0
clarice-lispector,Clarice Lispector,Sao Paulo,,1,1,True,0.578,0.602,0.72,0.4542,,,,,0.0,,0.0
alan-paton,Alan Paton,Johannesburg,,1,1,True,0.458,0.0,0.769,0.5964,,,,,0.0,,0.0
arthur-yap,Arthur Yap,Singapore,,1,1,True,0.0,0.663,,0.6624,,,,,0.0,,0.0
james-baldwin,James Baldwin,"Washington, D.C.",,1,1,True,0.671,0.993,0.712,0.1604,,,,,0.0,,0.0
lu-xun,Lu Xun,Beijing,,1,1,True,0.289,0.0,0.714,0.6584,,,,,0.0,,0.0
lao-she,Lao She,Beijing,,1,1,True,0.289,0.82,0.85,0.0885,,,,,0.0,,0.0
walt-whitman,Walt Whitman,"Washington, D.C.",,1,1,True,0.458,0.936,0.75,0.05,,,,,0.0,,0.0
andre-brink,Andre Brink,Johannesburg,,1,1,True,0.458,0.0,0.663,0.5964,,,,,0.0,,0.0
jin-yong,Jin Yong,Hong Kong,,1,1,True,0.458,0.936,0.738,0.05,,,,,0.0,,0.0
ba-jin,Ba Jin,Beijing,,1,1,True,0.458,0.936,0.689,0.05,,,,,0.0,,0.0
sultan-bin-ali-al-owais,Sultan bin Ali Al Owais,Abu Dhabi,,1,1,True,0.0,0.748,0.804,0.2951,,,,,0.0,,0.0
hwang-jini,Hwang Jini,Seoul,,1,1,True,0.0,0.847,0.652,0.5795,,,,,0.0,,0.0
amrita-pritam,Amrita Pritam,Mumbai,,1,1,True,0.0,0.847,0.652,0.5795,,,,,0.0,,0.0
kamala-das,Kamala Das,Mumbai,,1,1,True,0.0,0.847,0.759,0.5795,,,,,0.0,,0.0
simone-de-beauvoir,Simone de Beauvoir,Lyon,,1,1,True,0.671,0.993,0.766,0.1604,,,,,0.0,,0.0
na-hye-sok,Na Hye-sok,Seoul,,1,1,True,0.289,0.0,0.69,0.6584,,,,,0.0,,0.0
colleen-mccullough,Colleen McCullough,Sydney,,0,0,True,,,,,,,,,0.0,,
george-eliot,George Eliot,Manchester,,1,1,True,0.671,0.954,0.77,0.1327,,,,,0.0,,0.0
choi-in-hun,Choi In-hun,Busan,,1,1,True,0.812,0.82,0.737,0.2329,,,,,0.0,,0.0
william-golding,William Golding,Manchester,,1,1,True,0.671,0.954,0.785,0.1327,,,,,0.0,,0.0
pramoedya-ananta-toer,Pramoedya Ananta Toer,Jakarta,,1,1,True,0.289,0.0,0.741,0.6584,,,,,0.0,,0.0
kang-kyeong-ae,Kang Kyeong-ae,Seoul,,1,1,True,0.458,0.0,0.749,0.3238,,,,,0.0,,0.0
maya-angelou,Maya Angelou,"Washington, D.C.",,1,1,True,0.671,0.993,0.742,0.1604,,,,,0.0,,0.0
rabindranath-tagore,Rabindranath Tagore,Mumbai,,1,1,True,0.0,0.847,0.625,0.5795,,,,,0.0,,0.0
johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,Berlin,,1,1,True,0.747,0.819,0.633,0.2178,,,,,0.0,,0.0
joao-guimaraes-rosa,Joao Guimaraes Rosa,Sao Paulo,,1,1,True,0.578,0.602,0.708,0.4542,,,,,0.0,,0.0
shen-congwen,Shen Congwen,Beijing,,1,1,True,0.0,0.847,0.625,0.5795,,,,,0.0,,0.0
mary-shelley,Mary Shelley,Manchester,,1,1,True,0.671,0.954,0.678,0.1327,,,,,0.0,,0.0
agatha-christie,Agatha Christie,London,,1,1,True,0.289,0.0,0.636,0.6584,,,,,0.0,,0.0
daphne-du-maurier,Daphne du Maurier,London,,1,1,True,0.458,0.936,0.78,0.05,,,,,0.0,,0.0
edith-wharton,Edith Wharton,"Washington, D.C.",,1,1,True,0.671,0.993,0.723,0.1604,,,,,0.0,,0.0
shin-saimdang,Shin Saimdang,Seoul,,1,1,True,0.289,0.999,0.757,0.2007,,,,,0.0,,0.0
kim-myeong-sun,Kim Myeong-sun,Seoul,,1,1,True,0.289,0.0,0.714,0.6584,,,,,0.0,,0.0
no-cheon-myeong,No Cheon-myeong,Seoul,,1,1,True,0.289,0.999,0.699,0.2007,,,,,0.0,,0.0
elizabeth-jolley,Elizabeth Jolley,Melbourne,,1,1,True,0.458,0.0,0.773,0.3238,,,,,0.0,,0.0
xiao-hong,Xiao Hong,Beijing,,1,1,True,0.289,0.999,0.737,0.2007,,,,,0.0,,0.0
maria-zambrano,Maria Zambrano,Madrid,,1,1,True,0.578,0.769,0.752,0.2642,,,,,0.0,,0.0
natalia-ginzburg,Natalia Ginzburg,Milan,,1,1,True,0.867,0.727,0.82,0.2413,,,,,0.0,,0.0
oriana-fallaci,Oriana Fallaci,Milan,,1,1,True,0.867,0.727,0.74,0.2413,,,,,0.0,,0.0
fadwa-tuqan,Fadwa Tuqan,Abu Dhabi,,1,1,True,0.0,0.748,0.692,0.2951,,,,,0.0,,0.0
p-k-page,P. K. Page,Toronto,,0,0,True,,,,,,,,,0.0,,
robert-frost,Robert Frost,"Washington, D.C.",,1,1,True,0.458,0.936,0.78,0.05,,,,,0.0,,0.0
jack-london,Jack London,"Washington, D.C.",,1,1,True,0.289,0.0,0.634,0.6584,,,,,0.0,,0.0
frank-sargeson,Frank Sargeson,Wellington,,1,1,True,0.0,0.609,0.675,0.3887,,,,,0.0,,0.0
hyun-jin-geon,Hyun Jin-geon,Seoul,,0,0,True,,,,,,,,,0.0,,
